,day,employee_headcount,company_id
0,2011-01-24,25,1
1,2011-01-25,27,1
2,2011-01-26,29,1
3,2011-01-27,29,1
4,2011-01-28,29,1
5,2011-01-29,29,1
6,2011-01-30,29,1
7,2011-01-31,59,1
8,2011-02-01,66,1
9,2011-02-02,67,1
10,2011-02-03,67,1
11,2011-02-04,67,1
12,2011-02-05,67,1
13,2011-02-06,67,1
14,2011-02-07,99,1
15,2011-02-08,102,1
16,2011-02-09,104,1
17,2011-02-10,104,1
18,2011-02-11,104,1
19,2011-02-12,104,1
20,2011-02-13,104,1
21,2011-02-14,129,1
22,2011-02-15,130,1
23,2011-02-16,132,1
24,2011-02-17,132,1
25,2011-02-18,132,1
26,2011-02-19,132,1
27,2011-02-20,132,1
28,2011-02-21,132,1
29,2011-02-22,156,1
30,2011-02-23,159,1
31,2011-02-24,159,1
32,2011-02-25,159,1
33,2011-02-26,159,1
34,2011-02-27,159,1
35,2011-02-28,178,1
36,2011-03-01,178,1
37,2011-03-02,181,1
38,2011-03-03,182,1
39,2011-03-04,182,1
40,2011-03-05,182,1
41,2011-03-06,182,1
42,2011-03-07,210,1
43,2011-03-08,210,1
44,2011-03-09,211,1
45,2011-03-10,212,1
46,2011-03-11,212,1
47,2011-03-12,212,1
48,2011-03-13,212,1
49,2011-03-14,231,1
50,2011-03-15,234,1
51,2011-03-16,236,1
52,2011-03-17,237,1
53,2011-03-18,237,1
54,2011-03-19,237,1
55,2011-03-20,237,1
56,2011-03-21,268,1
57,2011-03-22,270,1
58,2011-03-23,272,1
59,2011-03-24,272,1
60,2011-03-25,272,1
61,2011-03-26,272,1
62,2011-03-27,272,1
63,2011-03-28,301,1
64,2011-03-29,305,1
65,2011-03-30,305,1
66,2011-03-31,305,1
67,2011-04-01,305,1
68,2011-04-02,305,1
69,2011-04-03,305,1
70,2011-04-04,333,1
71,2011-04-05,337,1
72,2011-04-06,340,1
73,2011-04-07,340,1
74,2011-04-08,340,1
75,2011-04-09,340,1
76,2011-04-10,340,1
77,2011-04-11,372,1
78,2011-04-12,373,1
79,2011-04-13,373,1
80,2011-04-14,375,1
81,2011-04-15,375,1
82,2011-04-16,375,1
83,2011-04-17,375,1
84,2011-04-18,402,1
85,2011-04-19,405,1
86,2011-04-20,405,1
87,2011-04-21,406,1
88,2011-04-22,406,1
89,2011-04-23,406,1
90,2011-04-24,406,1
91,2011-04-25,435,1
92,2011-04-26,438,1
93,2011-04-27,442,1
94,2011-04-28,444,1
95,2011-04-29,444,1
96,2011-04-30,444,1
97,2011-05-01,444,1
98,2011-05-02,469,1
99,2011-05-03,472,1
100,2011-05-04,472,1
101,2011-05-05,475,1
102,2011-05-06,475,1
103,2011-05-07,475,1
104,2011-05-08,475,1
105,2011-05-09,508,1
106,2011-05-10,509,1
107,2011-05-11,514,1
108,2011-05-12,515,1
109,2011-05-13,515,1
110,2011-05-14,515,1
111,2011-05-15,515,1
112,2011-05-16,546,1
113,2011-05-17,547,1
114,2011-05-18,551,1
115,2011-05-19,552,1
116,2011-05-20,552,1
117,2011-05-21,552,1
118,2011-05-22,552,1
119,2011-05-23,584,1
120,2011-05-24,585,1
121,2011-05-25,585,1
122,2011-05-26,586,1
123,2011-05-27,586,1
124,2011-05-28,586,1
125,2011-05-29,586,1
